Jeudi réception;Début semaine;Fin semaine;Métro;Code client;Jours présents;Dates sans lignes;Lignes;Dernière mise à jour;Fichier;SHA256
2026-08-06;2026-07-30;2026-08-05;Innovation;22658;7;;355;06.08.2026 04:14:53;Semaine_2026-07-30_au_2026-08-05/Innovation/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;70d9a5d34268dab4af5cc59955ddd6f6377f4f03019c884635749373149868cb
2026-08-06;2026-07-30;2026-08-05;St-Augustin;22531;7;;279;06.08.2026 04:14:53;Semaine_2026-07-30_au_2026-08-05/St-Augustin/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;5d43218c7ebcba49f3e66cecdd917fdf061633af684edf2c9e1ab7ab768e870c
2026-08-06;2026-07-30;2026-08-05;St-Nicolas;22636;7;;365;06.08.2026 04:14:53;Semaine_2026-07-30_au_2026-08-05/St-Nicolas/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;b575fddb057bedece427a681e8f548fa64f140eb9faf436ef573ebbf0ddea842
2026-08-13;2026-08-06;2026-08-12;Innovation;22658;7;;388;13.08.2026 04:14:37;Semaine_2026-08-06_au_2026-08-12/Innovation/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;1f444f9abdedc48e4d6fbf30c7220ff5eefc4b80f701500c4d610d7f870a2432
2026-08-13;2026-08-06;2026-08-12;St-Augustin;22531;7;;329;13.08.2026 04:14:37;Semaine_2026-08-06_au_2026-08-12/St-Augustin/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;50e6e0b25b120429872f12dad58376951b8eae49b406e00961a2d6a8b0cc169e
2026-08-13;2026-08-06;2026-08-12;St-Nicolas;22636;7;;411;13.08.2026 04:14:37;Semaine_2026-08-06_au_2026-08-12/St-Nicolas/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;6e55d6c120c2c1e412683254f6fffd0b16eb11dc58c6f797df7f447d7d9dd384
2026-08-20;2026-08-13;2026-08-19;Innovation;22658;7;;357;20.08.2026 04:14:30;Semaine_2026-08-13_au_2026-08-19/Innovation/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;98e55a80e965886befa4c13f9011efc538467eec032784dff376693d1ae2bc3b
2026-08-20;2026-08-13;2026-08-19;St-Augustin;22531;7;;350;20.08.2026 04:14:30;Semaine_2026-08-13_au_2026-08-19/St-Augustin/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;954a9cae0eb73c95df9bb7d6ca69135e5ec28fca2bd33112f18e38745de039d9
2026-08-20;2026-08-13;2026-08-19;St-Nicolas;22636;7;;398;20.08.2026 04:14:30;Semaine_2026-08-13_au_2026-08-19/St-Nicolas/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;39eafc27474dcee9c1162b0004681821b2ce898d80c632347854f80e5b33706e
2026-08-20;2026-08-13;2026-08-19;Ste-Foy;22992;7;;30;20.08.2026 04:14:30;Semaine_2026-08-13_au_2026-08-19/Ste-Foy/ZRT_ZMPOSJ21_SHOPSANTE_01_00000.CSV;94c2b30bba53796cc8eec692a98980da7c7010d37cd0ae7028b0fce55923a48d
